energy,protein,fat,carbohydrate,valine,isoleucine,arginine,histidine,leucine,lysine,methionine,threonine,phenylalanine,alanine,aspartic_acid,glycine,glutamic_acid,proline,serine,tyrosine,cystine,sfa,omega_3,omega_6,omega_9,potassium,calcium,magnesium,sodium,sulfur,phosphorus,iron,manganese,copper,selen,zinc,bor,cobalt,molybdenum,fluorine,chrome,nickel,iodine,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b4,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12,vitamin_c,vitamin_k,vitamin_e,vitamin_d,alpha_carotene,beta_carotene,sugars,glucose,fructose,galactose,lactose,saccharose,starch,fiber,name
143.51,5.09,0.67,26.22,0.17,0.14,0.18,0.07,0.23,0.18,0.05,0.15,0.18,0.15,0.36,0.14,0.73,0.27,0.16,0.1,0.06,0.14,0.04,0.25,0.11,989.06,128.04,96.94,660.87,63.43,175.18,2.96,0.51,277.64,8.62,1.04,101.77,8.28,22.47,530.83,7.08,6.95,4.91,938.34,0.15,0.2,1.44,27.08,0.65,0.42,37.3,0,58.55,34.72,0.91,0,0,6.12,4.37,0,0,0,0,0,12.38,6.53,1
47.22,1.81,0.27,9.12,0.08,0.07,0.1,0.02,0.09,0.09,0.02,0.07,0.07,0.09,0.2,0.05,0.28,0.07,0.08,0.06,0.03,0.05,0.03,0.04,0.06,373.24,42.21,19.31,55.53,37.72,43.45,0.72,0.18,95.1,0.46,0.43,74.87,2.31,6.94,157.52,3.98,2.6,2.41,86.02,0.08,0.07,0.52,10.42,0.25,0.17,16.31,0,37.73,39.95,0.17,0,16.5,0.87,0.05,0,0,0,0,0,0.31,2.03,2
93.24,3.53,4.02,6.92,0.16,0.11,0.29,0.07,0.18,0.16,0.06,0.13,0.12,0.15,0.36,0.13,0.73,0.31,0.15,0.11,0.05,0.46,0.06,2.61,0.55,398.01,188.44,54.95,827.11,47.89,127.86,3.02,0.88,302.01,2.44,1.22,84.38,1.95,4.54,17.93,1.71,2,1.65,129.48,0.13,0.06,0.36,18.04,0.25,0.25,43.02,0,24.16,17.29,0.5,0,5.84,1.27,3.21,0.16,0.05,0,0,0,0.52,6.61,3
156.37,5.98,1.07,29.99,0,0.01,0.02,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.03,0,0,0,0,0.18,0,0.01,0.01,255.34,41.44,43.01,549.52,55.68,144.89,3.48,1.39,207.37,4.71,1.19,50.1,2.69,7.42,34.05,3.75,0.96,5.38,11.95,0.16,0.08,0.65,52.02,0.56,0.18,28.48,0,2.69,10.34,1.29,0,1.19,0.13,1.16,0,0,0,0,0,27.6,7.5,4
167.24,10.35,1.07,27.81,0.53,0.48,0.53,0.27,0.82,0.76,0.12,0.44,0.54,0.43,1.18,0.41,1.5,0.72,0.58,0.31,0.1,0.12,0.12,0.13,0.04,764.12,88.97,60.83,72.11,87.59,238.24,3.1,0.68,342.98,11.53,1.65,276.65,12.13,30,327.94,7.55,78.46,8.23,153.06,0.27,0.13,1.59,50.31,0.73,0.56,46.86,0,12.32,6.16,0.48,0,0,1.41,1.62,0,0,0,0,0,0.09,6.36,5
445.69,23.48,16.49,50.55,0.81,0.65,1.13,0.44,1.29,1.45,0.41,0.84,0.7,1.06,1.61,1.21,2.48,0.8,0.81,0.6,0.21,3.9,0.18,2.59,6.04,833.13,78.13,69.23,515.24,237.67,265.23,3.75,0.93,336.7,14.76,2.92,153.06,17.12,22.84,181.08,15.32,9.06,9.66,262.38,0.28,0.25,8.57,116.79,1.26,0.84,47.63,0.46,41.45,107,1.74,0,8.25,1.73,5.82,0,0,0,0,0,33.67,5.16,6
490.08,26.63,10.57,69.43,1.13,1.04,1.17,0.57,1.76,1.61,0.24,0.88,1.14,0.89,2.49,0.85,3.21,1.58,1.23,0.64,0.19,1.22,0.22,5.13,1.9,2115.55,209.6,167.29,1611.04,353.47,576.09,8.66,1.63,1085.3,30.37,4.69,557.5,45.61,71.56,176.38,11.2,175.1,22.43,396.15,0.68,0.37,4.13,138.59,2.09,1.6,129.25,0,70.95,182.29,5.38,0,0.86,2.39,18.77,0,0,0,0,0,1.12,14.65,7
234.76,12.37,1.36,38.02,0.59,0.51,0.81,0.32,0.86,0.67,0.13,0.42,0.58,0.49,1.2,0.51,2.61,0.79,0.55,0.34,0.2,0.24,0.09,0.58,0.18,547.59,55.57,83.21,54.74,131.33,206.73,4.72,1.6,406.07,1.03,1.94,30,0.75,0,5.52,0.3,0.45,0.45,111.58,0.36,0.16,0.03,42.67,1.11,0.42,166.97,0,8.09,2.13,1.46,0,59.8,1.12,1.12,0.48,0.52,0,0,0,0,9.49,8
49.78,1.36,0.28,9.77,0.06,0.06,0.09,0.02,0.1,0.09,0.02,0.1,0.07,0.07,0.17,0.06,0.24,0.06,0.07,0.04,0.03,0.06,0.03,0.07,0.06,338.36,23.82,15.49,62.2,25.52,42.34,0.65,0.23,86.64,0.41,0.35,131.77,3.26,9.18,16.72,5.28,4.25,3.86,252.05,0.07,0.05,0.81,7.87,0.23,0.18,10.25,0,10.64,5.7,0.28,0,0.07,2.5,0.05,0,0,0,0,0,0.31,1.99,9
132.18,1.85,10.36,7.12,0.04,0.05,0.09,0.03,0.06,0.06,0.01,0.06,0.06,0.06,0.23,0.05,0.73,0.03,0.05,0.03,0.01,1.64,0,1.32,6.54,421.24,26.75,21.75,47.96,37.58,57.95,0.75,0.26,120.41,0.19,0.58,75,1.88,0,15.08,0.75,1.13,1.13,63,0.08,0.04,0.08,12.37,0.17,0.17,25.88,0,24.3,6.17,2.1,0,151.5,0.67,3.95,1.88,2.06,0,0,0,0,2.93,10
