id,category_id,name,general,energy,fat,protein,carbohydrate,water,ash,sugares,fiber,starch,cholesterol,img_id,sfa,organic_acid,deleted_at,sugars,glucose,fructose,phytosterol,coef_for_men,coef_for_women,purines,id,food_id,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,omega_3,omega_6,omega_9,hydroxyproline,methionine_cystine,phenylalanine_tyrosine,cystine_hydroxyproline,trans_fat,galactose,lactose,saccharose,linoleic,linolenic,palmitoleic,oxalic,pectin,id,food_id,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,silicon,sulfur,chlorine,aluminum,bor,vanadium,iodine,cobalt,molybdenum,nickel,strontium,titanium,fluorine,chrome,tin,selen,rubidium,lithium,zirconium,bromine,id,food_id,vitamin_a,beta_carotene,alpha_carotene,vitamin_d,vitamin_d2,vitamin_d3,vitamin_e,vitamin_k,vitamin_c,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b4,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12,vitamin_retinol,beta_cryptoxanthin,vitamin_h,vitamin_pp,lycopene,lutein_zeaxanthin,gamma_tocopherol,delta_tocopherol,betaine,biotin,choline,lutein
168,2,Абрикос,1,48,0.39,1.4,9.12,86.35,0.75,0,2,0.7,0,apricot.jpg,0.027,1,NULL,8.3,2.37,0.94,18,NULL,NULL,8,168,168,0.015,0.047,0.041,0.077,0.097,0.006,0.003,0.052,0.029,0.047,0.045,0.027,0.068,0.314,0.157,0.04,0.101,0.083,0,0.077,0.17,0,0.01,0.02,0,0,0,0,5.87,0,0,0,10,NULL,168,168,13,0.39,10,23,259,1,0.2,78,0.077,5,14,1,364,125,25,1,2,8,8,0,0,11,1,0,0.1,6.5,0,0,0,168,168,96,1.094,0,0,0,0,0.89,3.3,10,0.03,0.04,0.7,2.8,0.24,0.054,9,0,0,0,0.27,0.6,0,0,0,0,0,0.27,NULL,89
174,14,"Абрикосы сушеные",1,241,0.51,3.39,55.34,30.89,2.57,0,7.3,0.4,0,apricot.jpg,0.017,0,NULL,48,33.08,12.47,34,NULL,NULL,32,174,174,0.016,0.073,0.063,0.105,0.083,0.015,0.019,0.062,0.039,0.078,0.066,0.047,0.11,0.937,0.188,0.07,0.821,0.087,0,0.074,0.074,0,0,0,0,0,0,0,7.89,0,0,0,NULL,1.7,174,174,55,2.66,32,71,1162,10,0.39,343,0.235,44,33.9,3,0,270,44,3.4,8.4,12.2,0,0,0,53.2,80,0,2.2,0,0,0,0,174,174,180,2.163,0,0,0,0,4.33,0,1,0.015,0.074,0.7,13.9,0.516,0.143,10,0,0,0,0,0,0,0,0,0,0,1,NULL,66
181,2,"Абрикосы, консервированные в водной заливке",1,27,0.16,0.71,4.79,92.36,0.38,0,1.6,0,0,apricot.jpg,0.011,0,NULL,4.79,0,0,0,NULL,NULL,NULL,181,181,0.013,0.026,0.022,0.042,0.049,0.004,0.002,0.03,0.017,0.026,0.028,0.012,0.035,0.163,0.072,0.022,0.043,0.041,0,0.031,0.069,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,181,181,8,0.32,7,13,192,3,0.11,82,0.053,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,181,181,98,1.17,0,0,0,0,0.6,2.2,3.4,0.021,0.023,0,1.8,0.092,0.054,2,0,0,11,0,0.395,0,26,0,0,0,NULL,NULL,NULL
185,2,Авокадо,1,160,14.66,2,1.83,73.23,1.58,0,6.7,0.5,0,avocado.jpg,2.126,0,NULL,5,0.24,0.16,85,NULL,NULL,13,185,185,0.025,0.073,0.084,0.143,0.132,0.038,0.027,0.097,0.049,0.107,0.088,0.049,0.109,0.236,0.287,0.104,0.098,0.114,0.111,1.705,9.066,0,0,0,0,0,0.1,0,0.08,0,0,0,NULL,NULL,185,185,12,0.55,29,52,485,7,0.64,190,0.142,64,20,47,0,100,1.96,2,1,10,0,0,0,7,0.7,0,0.4,0,0,0,0,185,185,7,0.062,24,0,0,0,2.07,21,10,0.067,0.13,1.463,14.2,1.389,0.257,81,0,0,28,0,0,0,271,0,0,0,3.6,NULL,271
195,2,Айва,1,57,0.1,0.4,13.4,83.8,0.4,0,1.9,2,0,ajva.jpg,0.01,0.9,NULL,7.6,4.32,2.81,3.78,NULL,NULL,6,195,195,0.007,0.037,0.088,0.047,0.332,0.11,0,0.091,0.036,0.016,0.042,0.044,0.104,0,0.138,0.074,0.006,0.079,0.04,0.049,0.036,0,0,0,0,0,0.52,0,0.64,0,0,0,NULL,NULL,195,195,11,0.7,8,17,197,4,0.04,130,0.093,3.4,4,12.9,534.7,174.4,20,9.7,2.9,1.5,9.3,171.2,0,44.7,19.5,0,0.6,0,0,0,0,195,195,2,0.4,0,0,0,0,0.4,0,15,0.02,0.03,0.1,8.7,0.081,0.04,3,0,0,0,0,0.2,0,0,0,0,0,0,NULL,29
198,15,"Айсберг (салат кочанный)",1,14,0.14,0.9,1.77,95.64,0.36,0,1.2,0.4,0,isberg.jpg,0.018,0,NULL,2,0.36,0.43,10,NULL,NULL,13,198,198,0.009,0.025,0.018,0.025,0.024,0.005,0.005,0.023,0.007,0.024,0.015,0.009,0.025,0.125,0.194,0.015,0.01,0.025,0.052,0.021,0.004,0,0,0,0,0,0,0,0.05,0,0,0,3,0.4,198,198,18,0.41,7,20,141,10,0.15,25,0.125,0,9,50,0,85,170,8,4,9,0,0,0,28,3,0,0.1,0,0,0,0,198,198,25,0.299,4,0,0,0,0.18,24.1,2.8,0.041,0.025,0.55,6.7,0.091,0.042,29,0,0,0,0,0.123,0,277,0.09,0,0.1,0.7,NULL,1730
206,10,"Амарант, зерна, неприготовленные",1,371,7.02,13.56,58.55,11.29,2.88,0,6.7,57.27,0,amarant.jpg,1.459,0,NULL,1.69,0.27,0.01,24,NULL,NULL,NULL,206,206,0.181,0.558,0.582,0.879,0.747,0.226,0.191,0.542,0.329,0.679,1.06,0.389,0.799,1.261,2.259,1.636,0.698,1.148,0.042,2.736,1.671,0,0,0,0,0,0,0,1.4,0,0,0,NULL,NULL,206,206,159,7.61,248,557,508,4,2.87,525,3.333,0,135.6,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,0,0,0,0,206,206,0,0.001,0,0,0,0,1.19,0,4.2,0.116,0.2,0.2,69.8,1.457,0.591,82,0,0,0,0,0,0,28,0,0,0,NULL,NULL,NULL
207,10,"Амарант, зерна, приготовленные",1,102,1.58,3.8,16.59,75.16,0.77,0,2.1,16.23,0,amarant.jpg,2,0,NULL,0,0,0,0,NULL,NULL,NULL,207,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,207,207,47,2.1,65,148,135,6,0.86,149,0.854,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,207,207,0,0,0,0,0,0,0.19,0,0,0.015,0.022,0.2,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL
210,2,Ананас,1,52,0.1,0.3,11.8,85.5,0.3,0,1,0,0,pineapple.jpg,0.03,1,NULL,11.8,1.8,2,6,NULL,NULL,8,210,210,0.006,0.017,0.017,0.024,0.011,0.002,0.014,0.013,0.013,0.024,0.019,0.01,0.034,0.121,0.079,0.024,0.014,0.03,0.062,0.084,0.012,0,0,0,0,0,0,0,4.59,0,0,0,1.5,NULL,210,210,17,0.3,13,8,134,1,0.12,113,0.818,93,5.3,47,29.7,2.3,4.1,0.6,2.5,9.9,20,90,0,4.2,10,0,0.1,0,0,0,0,210,210,3,0.02,0,0,0,0,0.2,0.7,11,0.06,0.02,0.3,5.4,0.16,0.1,18,0,0,0,0,0.4,0,0,0,0,0,0,NULL,1
212,2,"Ананас, все сорта",1,50,0.12,0.54,11.72,86,0.22,0,1.4,0,0,ananas.jpg,0.009,0,NULL,0,0,0,6,NULL,NULL,NULL,212,212,0.005,0.019,0.019,0.024,0.026,0.012,0.014,0.021,0.019,0.024,0.019,0.01,0.033,0.121,0.079,0.024,0.017,0.035,0.017,0.023,0.012,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,212,212,13,0.29,12,8,109,1,0.12,110,0.927,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,212,212,3,0.035,0,0,0,0,0.02,0.7,47.8,0.079,0.032,0,5.5,0.213,0.112,18,0,0,0,0,0.5,0,0,0,0,0.1,NULL,NULL,NULL
