id,recipe_id,energy,fat,protein,carbohydrate,water,ash,sugares,fiber,starch,cholesterol,sfa,organic_acid,sugars,glucose,fructose,phytosterol,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,omega_3,omega_6,omega_9,hydroxyproline,methionine_cystine,phenylalanine_tyrosine,cystine_hydroxyproline,trans_fat,galactose,lactose,saccharose,linoleic,linolenic,palmitoleic,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,silicon,sulfur,chlorine,aluminum,bor,vanadium,iodine,cobalt,molybdenum,nickel,strontium,titanium,fluorine,chrome,tin,selen,rubidium,lithium,zirconium,vitamin_a,beta_carotene,alpha_carotene,vitamin_d,vitamin_d2,vitamin_d3,vitamin_e,vitamin_k,vitamin_c,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b4,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12,vitamin_retinol,beta_cryptoxanthin,vitamin_h,vitamin_pp,lycopene,lutein_zeaxanthin,gamma_tocopherol,delta_tocopherol,betaine,created_at,updated_at,coef_for_men,coef_for_women,oxalic,pectin,biotin,choline,lutein,purines,bromine
1,1,143.51,0.67,5.09,26.22,698.11,3.96,0.00,6.53,12.38,0.00,0.14,0.98,4.37,0,0,6.06,0.05,0.15,0.14,0.23,0.18,0.05,0.06,0.18,0.10,0.17,0.18,0.07,0.15,0.36,0.73,0.14,0.27,0.16,0.04,0.25,0.11,0.00,0.07,0.21,0,0,0,0,0,0,0,0,128.04,2.96,96.94,175.18,989.06,660.87,1.04,277.64,0.51,22.53,63.43,87.84,423.51,101.77,68.54,4.91,8.28,22.47,6.95,4.65,3.01,530.83,7.08,0.00,8.62,254.93,0.00,1.09,938.34,6.12,0.00,0.00,0.00,0.00,0.91,34.72,58.55,0.15,0.20,1.44,27.08,0.65,0.42,37.30,0.00,0,0,1.17,2.83,0,283,0,0,0.1,"2020-06-01 20:12:53","2020-06-25 16:15:20",-192.91,-192.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,47.22,0.27,1.81,9.12,226.93,1.00,0.00,2.03,0.31,0.00,0.05,0.26,0.05,0,0,5.5,0.02,0.07,0.07,0.09,0.09,0.02,0.03,0.07,0.06,0.08,0.10,0.02,0.09,0.20,0.28,0.05,0.07,0.08,0.03,0.04,0.06,0.00,0.02,0.08,0,0,0,0,0,0,0,0,42.21,0.72,19.31,43.45,373.24,55.53,0.43,95.10,0.18,18.03,37.72,28.52,335.76,74.87,54.65,2.41,2.31,6.94,2.60,3.65,0.00,157.52,3.98,0.00,0.46,199.95,0.00,0.91,86.02,0.87,16.50,0.00,0.00,0.00,0.17,39.95,37.73,0.08,0.07,0.52,10.42,0.25,0.17,16.31,0.00,0,0,0.18,1.17,0,15,0,0,0.2,"2020-06-01 20:12:53","2020-06-25 16:15:20",-148.28,-201.49,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,3,93.24,4.02,3.53,6.92,158.29,3.72,0.00,6.61,0.52,0.00,0.46,0.12,3.21,0.16,0.05,0,0.03,0.13,0.11,0.18,0.16,0.06,0.05,0.12,0.11,0.16,0.29,0.07,0.15,0.36,0.73,0.13,0.31,0.15,0.06,2.61,0.55,0.00,0.00,0.03,0,0,0,0,0,0,0,0,188.44,3.02,54.95,127.86,398.01,827.11,1.22,302.01,0.88,21.31,47.89,20.07,166.01,84.38,22.12,1.65,1.95,4.54,2.00,1.31,0.00,17.93,1.71,0.00,2.44,112.63,0.61,0.00,129.48,1.27,5.84,0.00,0.00,0.00,0.50,17.29,24.16,0.13,0.06,0.36,18.04,0.25,0.25,43.02,0.00,0,0,0.31,0.68,0,344.27,0,0,0.58,"2020-06-01 20:12:54","2020-06-25 16:15:20",-146.67,-145.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,4,156.37,1.07,5.98,29.99,57.08,2.43,0.00,7.50,27.60,0.00,0.18,0.86,1.16,0,0,0,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.01,0.01,0.03,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0,0,0,0,0,0,0,0,41.44,3.48,43.01,144.89,255.34,549.52,1.19,207.37,1.39,6.66,55.68,820.99,73.65,50.10,33.44,5.38,2.69,7.42,0.96,0.00,0.00,34.05,3.75,0.00,4.71,71.40,0.00,0.00,11.95,0.13,1.19,0.00,0.00,0.00,1.29,10.34,2.69,0.16,0.08,0.65,52.02,0.56,0.18,28.48,0.00,0,6.67,1.56,1.87,0,28.55,0,0,0,"2020-06-01 20:12:54","2020-06-25 16:15:20",-201.61,-201.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,5,167.24,1.07,10.35,27.81,346.92,2.37,0.00,6.36,0.09,0.00,0.12,0.32,1.62,0,0,0,0.12,0.44,0.48,0.82,0.76,0.12,0.10,0.54,0.31,0.53,0.53,0.27,0.43,1.18,1.50,0.41,0.72,0.58,0.12,0.13,0.04,0.00,0.20,0.83,0,0,0,0,0,0,0,0,88.97,3.10,60.83,238.24,764.12,72.11,1.65,342.98,0.68,57.73,87.59,75.71,562.25,276.65,138.68,8.23,12.13,30.00,78.46,10.42,66.00,327.94,7.55,0.00,11.53,157.67,0.00,7.95,153.06,1.41,0.00,0.00,0.00,0.00,0.48,6.16,12.32,0.27,0.13,1.59,50.31,0.73,0.56,46.86,0.00,0,0,0.75,3.69,0,0,0,0,0,"2020-06-01 20:12:54","2020-06-25 16:15:21",-194.91,-194.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,6,445.69,16.49,23.48,50.55,210.74,3.62,0.00,5.16,33.67,67.94,3.90,0.50,5.82,0,0,7.25,0.25,0.84,0.65,1.29,1.45,0.41,0.21,0.70,0.60,0.81,1.13,0.44,1.06,1.61,2.48,1.21,0.80,0.81,0.18,2.59,6.04,0.12,0.60,1.28,0,0,0,0,0,0,0,0,78.13,3.75,69.23,265.23,833.13,515.24,2.92,336.70,0.93,29.30,237.67,145.45,1134.89,153.06,133.20,9.66,17.12,22.84,9.06,6.60,9.05,181.08,15.32,3.85,14.76,302.01,0.00,1.36,262.38,1.73,8.25,0.00,0.00,0.00,1.74,107.00,41.45,0.28,0.25,8.57,116.79,1.26,0.84,47.63,0.46,0.06,0,10.69,14.33,0,7.5,0,0,23.27,"2020-06-01 20:12:54","2020-06-25 16:15:21",-187.51,-185.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,7,490.08,10.57,26.63,69.43,220.43,10.72,0.00,14.65,1.12,0.00,1.22,2.47,18.77,0,0,0,0.27,0.88,1.04,1.76,1.61,0.24,0.19,1.14,0.64,1.13,1.17,0.57,0.89,2.49,3.21,0.85,1.58,1.23,0.22,5.13,1.90,0.00,0.44,1.78,0,0,0,0,0,0,0,0,209.60,8.66,167.29,576.09,2115.55,1611.04,4.69,1085.30,1.63,95.00,353.47,314.90,802.50,557.50,192.45,22.43,45.61,71.56,175.10,17.22,150.00,176.38,11.20,0.00,30.37,190.45,0.00,16.20,396.15,2.39,0.86,0.00,0.00,0.00,5.38,182.29,70.95,0.68,0.37,4.13,138.59,2.09,1.60,129.25,0.00,0,0.96,5.31,9.34,0,17.02,0,0,0,"2020-06-01 20:12:54","2020-06-25 16:15:21",-177.28,-175.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,8,234.76,1.36,12.37,38.02,54.54,2.11,0.00,9.49,0.00,0.00,0.24,0.03,1.12,0.48,0.52,9.94,0.13,0.42,0.51,0.86,0.67,0.13,0.20,0.58,0.34,0.59,0.81,0.32,0.49,1.20,2.61,0.51,0.79,0.55,0.09,0.58,0.18,0.00,0.00,0.01,0,0,0,0,0,0,0,0,55.57,4.72,83.21,206.73,547.59,54.74,1.94,406.07,1.60,0.75,131.33,3.75,60.00,30.00,0.00,0.45,0.75,0.00,0.45,0.00,0.00,5.52,0.30,0.00,1.03,71.40,0.00,0.00,111.58,1.12,59.80,0.00,0.00,0.00,1.46,2.13,8.09,0.36,0.16,0.03,42.67,1.11,0.42,166.97,0.00,0,222.7,0.14,2.47,977.74,794.72,1.27,0,0,"2020-06-01 20:12:54","2020-06-25 16:15:21",-96.63,-96.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,9,49.78,0.28,1.36,9.77,68.49,0.99,0.00,1.99,0.31,0.00,0.06,0.19,0.05,0,0,0.55,0.01,0.10,0.06,0.10,0.09,0.02,0.03,0.07,0.04,0.06,0.09,0.02,0.07,0.17,0.24,0.06,0.06,0.07,0.03,0.07,0.06,0.00,0.03,0.10,0,0,0,0,0,0,0,0,23.82,0.65,15.49,42.34,338.36,62.20,0.35,86.64,0.23,26.28,25.52,43.89,471.96,131.77,83.39,3.86,3.26,9.18,4.25,5.95,0.00,16.72,5.28,0.00,0.41,258.45,0.00,1.09,252.05,2.50,0.07,0.00,0.00,0.00,0.28,5.70,10.64,0.07,0.05,0.81,7.87,0.23,0.18,10.25,0.00,0,0.15,0.36,1.06,0.12,2.72,0.04,0,0.05,"2020-06-01 20:12:54","2020-06-25 16:15:21",-202.15,-201.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,10,132.18,10.36,1.85,7.12,174.05,1.23,0.00,2.93,0.00,0.00,1.64,0.08,3.95,1.88,2.06,10.5,0.02,0.06,0.05,0.06,0.06,0.01,0.01,0.06,0.03,0.04,0.09,0.03,0.06,0.23,0.73,0.05,0.03,0.05,0.00,1.32,6.54,0.00,0.01,0.03,0,0,0,0,0,0,0,0,26.75,0.75,21.75,57.95,421.24,47.96,0.58,120.41,0.26,1.88,37.58,9.38,150.00,75.00,0.00,1.13,1.88,0.00,1.13,0.00,0.00,15.08,0.75,0.00,0.19,178.50,0.00,0.00,63.00,0.67,151.50,0.00,0.00,0.00,2.10,6.17,24.30,0.08,0.04,0.08,12.37,0.17,0.17,25.88,0.00,0,0,0.34,0.19,3859.5,184.5,0,0,0,"2020-06-01 20:12:54","2020-06-25 16:15:21",-99.9,-99.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL
